"","sub","mean_mars","version"
"258","9818153",0.5,"ver2"
"259","9818158",0.75,"ver2"
"260","9818162",0.1875,"ver2"
"261","9818163",0.625,"ver2"
"262","9818164",0.6875,"ver2"
"263","9818165",0.8125,"ver2"
"264","9818169",0.75,"ver2"
"265","9818171",0.625,"ver2"
"266","9818172",0.75,"ver2"
"267","9818173",0.875,"ver2"
"268","9818177",0.5625,"ver2"
"269","9818180",0.8125,"ver2"
"270","9818181",0.6875,"ver2"
"271","9818182",0.5625,"ver2"
"272","9818183",0.75,"ver2"
"273","9818189",0.4375,"ver2"
"274","9818252",0.875,"ver2"
"275","9859277",0.1875,"ver2"
"276","9859694",0.5625,"ver2"
"277","9859696",0.625,"ver2"
"278","9859697",0.625,"ver2"
"279","9859698",0.6875,"ver2"
"280","9859699",0.375,"ver2"
"281","9859700",0.75,"ver2"
"282","9859703",0.5625,"ver2"
"283","9859704",0.5,"ver2"
"284","9859705",0.875,"ver2"
"285","9859708",0.375,"ver2"
"286","9864890",0.3125,"ver2"
"1101","10933689",0.375,"ver1"
"288","10933690",0.230769230769231,"ver1"
"310","10933691",0.866666666666667,"ver1"
"412","10933692",0.333333333333333,"ver1"
"511","10933693",0.0625,"ver1"
"612","10933694",0.5,"ver1"
"712","10933695",0.266666666666667,"ver1"
"812","10933696",0.8125,"ver1"
"910","10933697",0.133333333333333,"ver1"
"1012","10933698",0.4375,"ver1"
"1112","10933699",0.625,"ver1"
"1212","10933700",0.4375,"ver1"
"1310","10933701",0.8,"ver1"
"1412","10933702",0.25,"ver1"
"1510","10933703",0.0625,"ver1"
"1612","10933704",0.8125,"ver1"
"1711","10933876",0.285714285714286,"ver1"
"1811","10933877",0.0625,"ver1"
"1910","10933878",0,"ver1"
"2012","10933879",0.125,"ver1"
"2112","10933880",0.3125,"ver1"
"2212","10933881",0.642857142857143,"ver1"
"2312","10933882",0.333333333333333,"ver1"
"2410","10933885",0.3125,"ver1"
"2511","10933886",0.625,"ver1"
"2611","10933887",0.375,"ver1"
"2711","10933889",0.533333333333333,"ver1"
"289","10933892",0.1875,"ver1"
"292","10933894",0.3125,"ver1"
"302","10933895",0.3125,"ver1"
"312","10933897",0.0769230769230769,"ver1"
"322","10934054",0.466666666666667,"ver1"
"332","10934055",0.5625,"ver1"
"342","10934057",0.714285714285714,"ver1"
"351","10934058",0.375,"ver1"
"361","10934059",0.714285714285714,"ver1"
"371","10934060",0.4375,"ver1"
"382","10934061",0.1875,"ver1"
"392","10934062",0.5625,"ver1"
"402","10934064",0.1875,"ver1"
"413","10934065",0.133333333333333,"ver1"
"421","10934067",0.1875,"ver1"
"432","10934068",0.1875,"ver1"
"441","10934069",0.125,"ver1"
"451","10934070",0.3125,"ver1"
"461","10934071",0.3125,"ver1"
"472","10934074",0.0625,"ver1"
"482","10934355",0.714285714285714,"ver1"
"492","10934356",0.9375,"ver1"
"501","10934357",0.266666666666667,"ver1"
"512","10934358",0.357142857142857,"ver1"
"522","10934359",0.6875,"ver1"
"531","10934360",0.375,"ver1"
"542","10934361",0.3125,"ver1"
"551","10934362",0.5,"ver1"
"562","10934363",0.384615384615385,"ver1"
"571","10934364",0.583333333333333,"ver1"
"582","10934367",0.125,"ver1"
"592","10934368",0.153846153846154,"ver1"
"602","10934369",0.375,"ver1"
"613","10934370",0.3125,"ver1"
"622","10934371",0.1875,"ver1"
"632","10934373",0.4,"ver1"
"641","10934372",0.1875,"ver1"
"652","10934374",0.8125,"ver1"
"661","10934375",0.466666666666667,"ver1"
"672","10936479",0.266666666666667,"ver1"
"682","10936484",0.5,"ver1"
"692","10936489",0.933333333333333,"ver1"
"702","10936551",0.384615384615385,"ver1"
"713","10936553",0.375,"ver1"
"722","10936554",0.1875,"ver1"
"732","10936556",0.6875,"ver1"
"742","10936557",0.6,"ver1"
"752","10936558",0.375,"ver1"
"762","10936559",0.3125,"ver1"
"772","10936560",0.625,"ver1"
"782","10936561",0.333333333333333,"ver1"
"791","10936562",0.125,"ver1"
"802","10936563",0.846153846153846,"ver1"
"813","10936564",0.133333333333333,"ver1"
"822","10936580",0.5,"ver1"
"831","10937297",0.2,"ver1"
"842","10937298",0.625,"ver1"
"852","10937299",0.857142857142857,"ver1"
"862","10937300",0.333333333333333,"ver1"
"872","10937302",0.714285714285714,"ver1"
"881","10937301",0.9375,"ver1"
"891","10937304",0.133333333333333,"ver1"
"902","10937305",0.923076923076923,"ver1"
"912","10937306",0.714285714285714,"ver1"
"922","10937309",0.333333333333333,"ver1"
