"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"420",10933693,"lottery","trial",7528.79999990463,1,"right",12,"15soloseacaso.png","12.png",0,"UP","SP","SP",0,0,12
"422",10933693,"lottery","trial",7264.19999980927,2,"left",15,"15soloseacaso.png","15.png",0,"UP","SP","UP",1,0,7.5
"424",10933693,"lottery","trial",4545.70000019074,3,"right",3,"15soloseacaso.png","3.png",0,"UP","SP","SP",0,0,3
"426",10933693,"lottery","trial",2474.60000019074,4,"left",13,"13.png","15soloseacaso.png",0,"SP","UP","SP",0,0,13
"428",10933693,"lottery","trial",5716.59999999999,5,"left",1,"15soloseacaso.png","1.png",0,"UP","SP","UP",1,NA,7.5
"430",10933693,"lottery","trial",6888.29999980926,6,"left",9,"9.png","15soloseacaso.png",0,"SP","UP","SP",0,0,9
"432",10933693,"lottery","trial",6470.49999990463,7,"right",2,"15soloseacaso.png","2.png",0,"UP","SP","SP",0,1,2
"434",10933693,"lottery","trial",2466.3,8,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"436",10933693,"lottery","trial",2555.89999990464,9,"left",5,"5.png","15soloseacaso.png",0,"SP","UP","SP",0,1,5
"438",10933693,"lottery","trial",3521.19999980927,10,"right",6,"15soloseacaso.png","6.png",0,"UP","SP","SP",0,0,6
"440",10933693,"lottery","trial",3540.40000019074,11,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,0,10
"442",10933693,"lottery","trial",2174.3,12,"left",8,"8.png","15soloseacaso.png",0,"SP","UP","SP",0,1,8
"444",10933693,"lottery","trial",3055.20000009537,13,"left",11,"11.png","15soloseacaso.png",0,"SP","UP","SP",0,0,11
"446",10933693,"lottery","trial",1843.70000019073,14,"left",14,"15soloseacaso.png","14.png",0,"UP","SP","UP",1,1,7.5
"448",10933693,"lottery","trial",2216.09999980926,15,"right",7,"7.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"453",10933693,"coordination","trial",5924.10000019074,1,"left",13,"13.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,13
"455",10933693,"coordination","trial",1512.29999980927,2,"left",10,"10.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,10
"457",10933693,"coordination","trial",2538.29999990463,3,"left",2,"15soloseinsieme.png","2.png",0,"UP","SP","UP",1,0,9.81308411214953
"459",10933693,"coordination","trial",3969.60000000001,4,"left",15,"15.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,15
"461",10933693,"coordination","trial",2720.39999999999,5,"right",14,"15soloseinsieme.png","14.png",0,"UP","SP","SP",0,0,14
"463",10933693,"coordination","trial",3368.90000009537,6,"right",5,"5.png","15soloseinsieme.png",0,"SP","UP","UP",1,1,10.6542056074766
"465",10933693,"coordination","trial",1759.79999990464,7,"right",6,"15soloseinsieme.png","6.png",0,"UP","SP","SP",0,1,6
"467",10933693,"coordination","trial",4332,8,"left",9,"9.png","15soloseinsieme.png",0,"SP","UP","SP",0,1,9
"469",10933693,"coordination","trial",1899.29999999996,9,"left",8,"15soloseinsieme.png","8.png",0,"UP","SP","UP",1,1,8.97196261682243
"471",10933693,"coordination","trial",2212.99999990463,10,"right",3,"3.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,11.7757009345794
"473",10933693,"coordination","trial",1683.89999999999,11,"left",4,"4.png","15soloseinsieme.png",0,"SP","UP","SP",0,1,4
"475",10933693,"coordination","trial",1932.29999999999,12,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,11.9158878504673
"477",10933693,"coordination","trial",1837.79999980927,13,"left",12,"12.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,12
"479",10933693,"coordination","trial",1607.70000019073,14,"right",11,"15soloseinsieme.png","11.png",0,"UP","SP","SP",0,0,11
"481",10933693,"coordination","trial",1247.90000019074,15,"right",7,"15soloseinsieme.png","7.png",0,"UP","SP","SP",0,0,7
"486",10933693,"competition","trial",8025.99999990463,1,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"488",10933693,"competition","trial",3595.50000019075,2,"right",8,"8.png","15solosesoli.png",0,"SP","UP","UP",1,0,6.02803738317757
"490",10933693,"competition","trial",2315.79999980927,3,"right",5,"5.png","15solosesoli.png",0,"SP","UP","UP",1,0,4.34579439252336
"492",10933693,"competition","trial",1350.10000000001,4,"right",11,"15solosesoli.png","11.png",0,"UP","SP","SP",0,0,11
